,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7
0,0.00020814730500001133,0.0002441514260001441,0.00021121416200003295,0.000202116887000102,0.0002056239790001655,0.00020198288300002788,0.0002077530789999855
1,0.0002441514260001441,0.00021121416200003295,0.000202116887000102,0.0002056239790001655,0.00020198288300002788,0.0002077530789999855,0.00020499302500002158
2,0.00021121416200003295,0.000202116887000102,0.0002056239790001655,0.00020198288300002788,0.0002077530789999855,0.00020499302500002158,0.00020539565500007483
3,0.000202116887000102,0.0002056239790001655,0.00020198288300002788,0.0002077530789999855,0.00020499302500002158,0.00020539565500007483,0.00020884484399994108
4,0.0002056239790001655,0.00020198288300002788,0.0002077530789999855,0.00020499302500002158,0.00020539565500007483,0.00020884484399994108,0.00020477349399993728
5,0.00020198288300002788,0.0002077530789999855,0.00020499302500002158,0.00020539565500007483,0.00020884484399994108,0.00020477349399993728,0.00020404156899985536
6,0.0002077530789999855,0.00020499302500002158,0.00020539565500007483,0.00020884484399994108,0.00020477349399993728,0.00020404156899985536,0.00034474523799985944
7,0.00020499302500002158,0.00020539565500007483,0.00020884484399994108,0.00020477349399993728,0.00020404156899985536,0.00034474523799985944,0.00020230979100006153
8,0.00020539565500007483,0.00020884484399994108,0.00020477349399993728,0.00020404156899985536,0.00034474523799985944,0.00020230979100006153,0.00021366750099991805
9,0.00020884484399994108,0.00020477349399993728,0.00020404156899985536,0.00034474523799985944,0.00020230979100006153,0.00021366750099991805,0.00020401435100006894
10,0.00020477349399993728,0.00020404156899985536,0.00034474523799985944,0.00020230979100006153,0.00021366750099991805,0.00020401435100006894,0.0002026473230000647
11,0.00020404156899985536,0.00034474523799985944,0.00020230979100006153,0.00021366750099991805,0.00020401435100006894,0.0002026473230000647,0.0002058446249998269
12,0.00034474523799985944,0.00020230979100006153,0.00021366750099991805,0.00020401435100006894,0.0002026473230000647,0.0002058446249998269,0.0002025978120000218
13,0.00020230979100006153,0.00021366750099991805,0.00020401435100006894,0.0002026473230000647,0.0002058446249998269,0.0002025978120000218,0.00020697292500017285
14,0.00021366750099991805,0.00020401435100006894,0.0002026473230000647,0.0002058446249998269,0.0002025978120000218,0.00020697292500017285,0.0002013759769999979
15,0.00020401435100006894,0.0002026473230000647,0.0002058446249998269,0.0002025978120000218,0.00020697292500017285,0.0002013759769999979,0.00021001109000008
16,0.0002026473230000647,0.0002058446249998269,0.0002025978120000218,0.00020697292500017285,0.0002013759769999979,0.00021001109000008,0.00021385212199993476
17,0.0002058446249998269,0.0002025978120000218,0.00020697292500017285,0.0002013759769999979,0.00021001109000008,0.00021385212199993476,0.00020394112400003904
